candidate,l1000_opposite_rank,l1000_score,cell_line,time_h,dose,market_or_clinical_status,meningioma_cross_validation,decision,key_caveat,source
Etoposide,1,-0.119565217391304,MCF7,24,10.0,marketed oncology drug,meningioma cell-line evidence includes surviving drug-resistant stem-like cells,deprioritise,strongest current reversal but single MCF7 signature; nonspecific cytotoxicity/resistance concern,https://pmc.ncbi.nlm.nih.gov/articles/PMC5521079/
Amsacrine,2,-0.119565217391304,MCF7,24,10.0,clinically used/marketed in some jurisdictions for acute leukaemia,no direct meningioma validation identified,deprioritise,strongest current reversal but single MCF7 signature and substantial systemic toxicity,https://maayanlab.cloud/dmoa/report/BRD-K98490050
ESTRADIOL BENZOATE,4,-0.108695652173913,VCAP,24,10.0,marketed hormonal drug in some jurisdictions,no therapeutic meningioma validation identified,exclude,estrogenic exposure is not a rational unselected meningioma therapy,
Danazol,10,-0.0978260869565217,VCAP,24,10.0,marketed hormonal drug,no therapeutic meningioma validation identified,exclude,hormonal pharmacology and meningioma context make repurposing unattractive despite reversal,
itraconazole,22,-0.0869565217391304,VCAP,24,10.0,marketed antifungal; oncology repurposing studied clinically,no direct meningioma validation identified,exploratory,weak single-VCAP reversal; mechanistic and tumour-exposure validation required,https://clinicaltrials.gov/study/NCT02357836
Perhexiline maleate,24,-0.0869565217391304,MCF7,24,10.0,marketed for angina in limited jurisdictions,no direct meningioma validation identified,exploratory,weak single-MCF7 reversal; metabolic mechanism is conceptually relevant to OXPHOS but hepatotoxicity and exposure are concerns,https://pubchem.ncbi.nlm.nih.gov/compound/Perhexiline
AMIODARONE HYDROCHLORIDE,29,-0.0869565217391304,HT29,24,10.0,marketed antiarrhythmic,no direct meningioma validation identified,deprioritise,weak single-HT29 reversal and major chronic toxicity,
Cyclosporin A,34,-0.0869565217391304,PC3,24,10.0,marketed immunosuppressant,no direct meningioma validation identified,exclude,immunosuppression is translationally unattractive for an unvalidated anticancer signal,
Norethindrone,41,-0.0869565217391304,VCAP,24,10.0,marketed progestin,no therapeutic meningioma validation identified,exclude,progestin exposure is a safety concern in meningioma,
Retinoic acid,43,-0.0869565217391304,MCF7,6,40.0,marketed as tretinoin/all-trans retinoic acid,in vitro meningioma evidence: reduced invasion/migration and increased matrix adhesion,cross-validated candidate,"weak single-MCF7 reversal, but orthogonal meningioma-specific experimental support makes it testable",https://doi.org/10.1038/sj.bjc.6690705
oxymetholone,45,-0.0869565217391304,VCAP,24,10.0,marketed androgen/anabolic steroid,no therapeutic meningioma validation identified,exclude,hormonal toxicity and absent meningioma evidence,
mirtazapine,50,-0.0760869565217391,VCAP,24,10.0,marketed antidepressant,no direct meningioma validation identified,deprioritise,weakest listed single-VCAP reversal and no mechanistic support,
